                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.4423,                 6.4677,                 4.2138,                0.00011,                0.00974,                  6e-05,                  2e-05,                  4.387,                  6.038,                 4.1602,              0.0002375,              0.0002375,              0.0002375
                      2,                 3.8311,                 5.5885,                 4.1327,                 0.0001,                0.00974,                  5e-05,                  2e-05,                 4.3953,                 6.0194,                 4.1574,             0.00032662,             0.00032662,             0.00032662
                      3,                  3.512,                 5.1789,                 3.9429,                0.00013,                0.01299,                  7e-05,                  2e-05,                 4.4114,                 5.9545,                 4.1637,             0.00025075,             0.00025075,             0.00025075
