                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1307,                  1.076,                 1.6559,                0.88335,                0.77639,                0.88189,                0.68119,                0.97111,                0.82066,                 1.5634,             0.00047045,             0.00047045,             0.00047045
                      2,                 1.1243,                  1.036,                 1.6524,                0.97602,                0.71362,                0.88158,                0.67269,                0.99679,                0.87831,                 1.5861,             0.00093507,             0.00093507,             0.00093507
                      3,                 1.1413,                  1.079,                 1.6679,                 0.9742,                0.73524,                0.88084,                0.66879,                 1.0261,                0.85731,                 1.6227,              0.0013879,              0.0013879,              0.0013879
                      4,                 1.1525,                 1.1117,                 1.6999,                0.97392,                0.71763,                0.86848,                0.64873,                 1.0474,                 0.9332,                 1.6213,              0.0013759,              0.0013759,              0.0013759
                      5,                 1.1602,                 1.0844,                 1.6985,                0.96646,                0.74406,                0.86659,                0.64937,                 1.0507,                0.93351,                 1.6401,              0.0013583,              0.0013583,              0.0013583
                      6,                 1.1779,                 1.1023,                 1.7118,                0.96614,                0.69814,                0.82918,                0.60534,                 1.1577,                 1.0955,                 1.7494,              0.0013406,              0.0013406,              0.0013406
                      7,                 1.1433,                 1.0739,                 1.6741,                0.91106,                0.76843,                0.89067,                0.65048,                 1.0756,                0.91482,                 1.6559,              0.0013229,              0.0013229,              0.0013229
                      8,                 1.1574,                 1.0873,                 1.6795,                 0.8786,                 0.7833,                0.88301,                0.66515,                 1.0114,                0.88197,                  1.586,              0.0013052,              0.0013052,              0.0013052
                      9,                  1.115,                 1.0145,                 1.6481,                0.88132,                 0.7654,                 0.8665,                0.65708,                 1.0245,                0.93788,                 1.6054,              0.0012875,              0.0012875,              0.0012875
                     10,                 1.1425,                 1.0548,                 1.6608,                0.92505,                0.77132,                0.88636,                0.66739,                  1.023,                  0.858,                 1.5976,              0.0012698,              0.0012698,              0.0012698
                     11,                 1.1349,                 1.0309,                 1.6413,                0.96329,                0.74723,                0.88972,                 0.6639,                 1.0144,                0.83212,                 1.5926,              0.0012522,              0.0012522,              0.0012522
                     12,                 1.1062,                 1.0189,                 1.6358,                0.90224,                0.76879,                0.88405,                0.65138,                 1.0641,                0.88073,                 1.6497,              0.0012345,              0.0012345,              0.0012345
                     13,                 1.1302,                 1.0216,                 1.6628,                0.95979,                0.73956,                0.87658,                0.65622,                 1.0446,                0.89762,                 1.6426,              0.0012168,              0.0012168,              0.0012168
                     14,                 1.1386,                 1.0565,                 1.6778,                0.89076,                 0.7573,                0.87612,                0.64061,                 1.0917,                0.91069,                 1.6764,              0.0011991,              0.0011991,              0.0011991
                     15,                 1.1234,                 1.0303,                 1.6342,                0.87239,                 0.7991,                0.90442,                0.66619,                 1.0641,                0.83171,                 1.6373,              0.0011814,              0.0011814,              0.0011814
                     16,                 1.1303,                 1.0563,                 1.6678,                0.90939,                0.80655,                0.90521,                0.68319,                0.99396,                0.82965,                 1.5744,              0.0011637,              0.0011637,              0.0011637
                     17,                 1.0989,                0.99221,                 1.6381,                0.91364,                0.79431,                0.90226,                0.67195,                 1.0284,                0.85256,                 1.6023,              0.0011461,              0.0011461,              0.0011461
                     18,                  1.073,                0.97494,                  1.604,                0.93221,                0.76987,                0.90119,                0.68151,                 1.0053,                0.81069,                 1.5812,              0.0011284,              0.0011284,              0.0011284
                     19,                 1.0935,                 1.0078,                 1.6271,                0.90009,                0.78143,                0.89685,                0.68354,                0.95758,                0.84467,                 1.5414,              0.0011107,              0.0011107,              0.0011107
                     20,                 1.0843,                0.96587,                 1.6023,                0.95111,                0.77754,                0.90401,                0.68089,                 1.0117,                0.81585,                 1.5666,               0.001093,               0.001093,               0.001093
                     21,                 1.0956,                0.98816,                 1.6413,                  0.902,                0.82794,                0.91387,                0.69815,                0.96864,                0.76272,                 1.5445,              0.0010753,              0.0010753,              0.0010753
                     22,                 1.0964,                0.96806,                  1.623,                0.90845,                  0.811,                0.91997,                 0.6935,                0.99945,                0.77661,                 1.5714,              0.0010576,              0.0010576,              0.0010576
                     23,                 1.0856,                0.96677,                 1.6091,                0.90232,                0.82168,                0.91737,                0.69254,                0.97451,                0.75014,                 1.5423,                0.00104,                0.00104,                0.00104
