                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1985,                  0.797,                  1.387,                0.97572,                0.88897,                0.95697,                0.71711,                 1.2571,                0.84627,                 1.5393,             0.00054142,             0.00054142,             0.00054142
                      2,                 1.1783,                0.67987,                 1.3607,                0.96339,                0.94381,                0.97519,                  0.703,                 1.2442,                0.77394,                 1.5272,              0.0010754,              0.0010754,              0.0010754
                      3,                 1.1858,                0.71042,                 1.3658,                0.97336,                0.94021,                0.98193,                0.74067,                 1.0968,                0.68017,                  1.412,              0.0015873,              0.0015873,              0.0015873
                      4,                 1.2037,                0.68931,                 1.3623,                0.95482,                 0.9622,                0.97833,                0.71621,                 1.1941,                 0.7676,                 1.5474,               0.001568,               0.001568,               0.001568
                      5,                 1.2156,                0.70866,                 1.4083,                0.96474,                0.95436,                0.98232,                0.71917,                 1.1314,                0.70126,                 1.3969,               0.001535,               0.001535,               0.001535
                      6,                 1.1776,                 0.6875,                 1.3536,                0.96874,                0.94711,                0.97866,                0.70001,                 1.2054,                0.70626,                 1.4876,               0.001502,               0.001502,               0.001502
                      7,                 1.1349,                0.66974,                 1.3189,                0.95487,                0.95198,                0.98187,                0.73507,                 1.1449,                0.66393,                 1.4105,               0.001469,               0.001469,               0.001469
                      8,                 1.1374,                0.64825,                 1.3183,                0.96392,                0.97665,                0.98708,                 0.7447,                 1.1165,                0.61327,                 1.4025,               0.001436,               0.001436,               0.001436
                      9,                 1.1481,                0.65453,                 1.3562,                0.98168,                0.95111,                0.98828,                0.73245,                 1.0624,                0.65808,                 1.3517,              0.0014029,              0.0014029,              0.0014029
                     10,                 1.1074,                0.63556,                 1.3199,                0.95265,                0.96787,                 0.9845,                0.73819,                 1.1087,                0.62683,                 1.4054,              0.0013699,              0.0013699,              0.0013699
                     11,                 1.1187,                0.64156,                 1.3214,                0.97311,                0.96915,                0.98857,                0.75072,                 1.0349,                0.67525,                 1.3343,              0.0013369,              0.0013369,              0.0013369
                     12,                 1.1225,                0.66203,                 1.3111,                0.96995,                 0.9476,                0.98652,                0.74462,                 1.0429,                0.68735,                 1.3566,              0.0013039,              0.0013039,              0.0013039
                     13,                 1.1023,                0.63865,                 1.3119,                0.98002,                0.96954,                0.98994,                0.75483,                 1.1154,                0.59217,                 1.3527,              0.0012709,              0.0012709,              0.0012709
                     14,                 1.1186,                  0.643,                 1.3211,                0.98563,                0.97614,                 0.9897,                0.77895,                 1.0022,                0.58957,                 1.3184,              0.0012379,              0.0012379,              0.0012379
                     15,                 1.0727,                0.60342,                 1.2953,                0.98074,                0.96249,                 0.9869,                0.75226,                 1.1087,                0.62335,                 1.3691,              0.0012049,              0.0012049,              0.0012049
                     16,                 1.0794,                 0.6015,                 1.2656,                0.99235,                0.95627,                0.98892,                0.78442,                0.95591,                0.57352,                 1.2845,              0.0011719,              0.0011719,              0.0011719
                     17,                   1.06,                0.59694,                 1.2924,                0.98966,                0.96378,                0.98887,                0.76586,                0.98841,                0.62682,                 1.3075,              0.0011389,              0.0011389,              0.0011389
                     18,                  1.049,                0.58618,                 1.2847,                0.98393,                0.96899,                0.99133,                0.77051,                 1.0169,                0.55912,                 1.3283,              0.0011059,              0.0011059,              0.0011059
                     19,                   1.06,                0.62128,                 1.2868,                0.97318,                0.96943,                0.99222,                0.75192,                 1.0209,                0.56398,                 1.3379,              0.0010729,              0.0010729,              0.0010729
                     20,                 1.0381,                0.57992,                 1.2762,                0.96588,                0.96324,                 0.9909,                0.76645,                 1.0255,                0.57538,                 1.3048,              0.0010399,              0.0010399,              0.0010399
                     21,                 1.0704,                0.58843,                 1.2706,                0.98869,                0.95874,                0.99344,                0.75918,                 1.0437,                0.53348,                 1.3083,              0.0010069,              0.0010069,              0.0010069
