                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4501,                 2.9852,                 2.5589,                0.48177,                0.63636,                0.67794,                0.31276,                 2.1036,                 3.2298,                 2.6454,             0.00031673,             0.00031673,             0.00031673
                      2,                 2.2528,                  2.738,                 2.5096,                0.69406,                0.74075,                0.83459,                0.44368,                 1.9495,                  2.555,                 2.5343,             0.00064584,             0.00064584,             0.00064584
                      3,                 2.2351,                 2.4055,                 2.3769,                 0.6558,                0.75135,                0.67995,                0.28477,                 2.0053,                 2.7654,                 2.5365,             0.00097055,             0.00097055,             0.00097055
                      4,                 2.0957,                 2.2812,                 2.2792,                0.77277,                 0.6796,                0.75901,                0.31712,                 1.9188,                 2.7457,                 2.6396,              0.0012909,              0.0012909,              0.0012909
                      5,                  2.074,                 2.1533,                 2.2348,                0.49461,                0.64286,                0.62861,                0.25019,                 2.0554,                 2.3743,                 2.4982,              0.0016068,              0.0016068,              0.0016068
                      6,                  1.967,                 1.9816,                 2.2005,                0.81057,                0.77902,                0.82159,                0.39516,                 1.8792,                  2.399,                  2.771,               0.001612,               0.001612,               0.001612
                      7,                 1.8885,                 1.6867,                 2.0838,                 0.7922,                0.72104,                0.77459,                0.37895,                 1.9006,                 2.5509,                 2.4908,               0.001601,               0.001601,               0.001601
                      8,                 1.8083,                 1.6271,                 2.0005,                0.81923,                0.82041,                0.88689,                0.48785,                 1.6398,                  1.877,                 2.1408,                0.00159,                0.00159,                0.00159
                      9,                 1.7999,                 1.6329,                 2.0044,                0.92572,                0.82124,                0.92289,                0.56962,                 1.5333,                 1.6461,                 2.0729,               0.001579,               0.001579,               0.001579
                     10,                 1.6875,                 1.4205,                 1.8877,                0.93376,                0.86668,                0.95874,                0.61127,                  1.355,                 1.3879,                 1.8972,               0.001568,               0.001568,               0.001568
                     11,                 1.5561,                  1.339,                 1.7765,                0.98136,                 0.9336,                0.95108,                0.61543,                  1.388,                 1.3527,                 1.9227,               0.001557,               0.001557,               0.001557
                     12,                 1.6124,                 1.3571,                 1.8359,                0.98972,                0.94751,                0.96314,                0.66256,                 1.2585,                 1.1917,                 1.8675,               0.001546,               0.001546,               0.001546
                     13,                 1.4744,                 1.2008,                 1.7272,                0.91049,                0.86165,                0.95971,                0.66396,                 1.3263,                 1.2923,                 1.8366,               0.001535,               0.001535,               0.001535
                     14,                 1.4598,                 1.2145,                  1.719,                0.91117,                0.91576,                0.96115,                 0.6344,                 1.3071,                 1.2399,                    1.8,               0.001524,               0.001524,               0.001524
                     15,                 1.5097,                 1.2034,                 1.7447,                0.98767,                0.95779,                0.96983,                0.62006,                 1.4144,                 1.0741,                 1.8631,               0.001513,               0.001513,               0.001513
                     16,                 1.4117,                 1.1648,                 1.6799,                0.97881,                0.95455,                0.96955,                0.64969,                 1.2006,                 0.9832,                 1.7006,               0.001502,               0.001502,               0.001502
                     17,                 1.3996,                 1.1238,                 1.6728,                0.92611,                0.94044,                0.97056,                0.61747,                 1.3109,                 1.1806,                 1.7933,               0.001491,               0.001491,               0.001491
                     18,                 1.3016,                0.99891,                 1.5404,                0.99658,                 0.9513,                0.97286,                0.63337,                 1.2383,                 0.9327,                 1.6946,                0.00148,                0.00148,                0.00148
                     19,                 1.2938,                0.96056,                 1.5759,                0.98085,                0.96609,                0.97752,                0.68528,                 1.1179,                0.91459,                 1.6441,               0.001469,               0.001469,               0.001469
                     20,                   1.31,                0.96948,                 1.5667,                0.97558,                0.94943,                0.97631,                 0.6857,                 1.1412,                0.91392,                  1.626,               0.001458,               0.001458,               0.001458
                     21,                 1.2555,                0.94082,                 1.4948,                0.98683,                0.96429,                0.97793,                0.70373,                 1.0777,                0.88627,                 1.5306,               0.001447,               0.001447,               0.001447
                     22,                  1.217,                0.92461,                 1.5087,                0.98497,                0.95657,                0.98326,                0.65763,                 1.1818,                0.94401,                  1.581,               0.001436,               0.001436,               0.001436
                     23,                 1.2349,                0.85549,                 1.4687,                0.99251,                0.97403,                0.98591,                 0.7333,                0.99926,                0.78185,                 1.4477,               0.001425,               0.001425,               0.001425
                     24,                  1.166,                0.83954,                 1.4425,                0.99624,                0.97727,                0.99022,                0.72165,                 1.0624,                 0.7446,                 1.4685,              0.0014139,              0.0014139,              0.0014139
                     25,                 1.1866,                0.83898,                 1.4875,                 0.9911,                0.98377,                0.98566,                0.72827,                 0.9981,                0.74874,                 1.4007,              0.0014029,              0.0014029,              0.0014029
                     26,                 1.2251,                0.86024,                 1.4684,                0.99672,                0.97403,                0.98564,                0.75366,                0.90775,                0.71726,                  1.369,              0.0013919,              0.0013919,              0.0013919
                     27,                  1.159,                0.85479,                 1.4657,                0.99736,                0.97727,                0.98895,                0.71598,                 1.0933,                0.72933,                 1.4611,              0.0013809,              0.0013809,              0.0013809
                     28,                 1.1297,                0.78403,                 1.3898,                 0.9969,                0.98627,                0.98861,                0.75174,                 0.9345,                0.64441,                 1.3401,              0.0013699,              0.0013699,              0.0013699
                     29,                 1.1081,                0.78388,                 1.3647,                0.99023,                0.98377,                0.98462,                0.74008,                0.95615,                0.71804,                 1.3558,              0.0013589,              0.0013589,              0.0013589
                     30,                 1.1284,                0.79133,                 1.3942,                0.99384,                0.98052,                0.99023,                 0.7406,                0.95398,                0.66554,                 1.3613,              0.0013479,              0.0013479,              0.0013479
                     31,                 1.0734,                0.73494,                 1.3585,                0.98861,                0.98537,                0.99045,                0.72912,                 0.9607,                0.80004,                 1.3725,              0.0013369,              0.0013369,              0.0013369
                     32,                 1.0867,                0.75027,                  1.363,                0.99344,                0.98052,                0.99084,                 0.7359,                0.96193,                0.67638,                 1.3803,              0.0013259,              0.0013259,              0.0013259
                     33,                 1.1294,                0.71608,                 1.3785,                0.99593,                0.97959,                0.99019,                0.74597,                 1.0136,                0.66902,                 1.4476,              0.0013149,              0.0013149,              0.0013149
                     34,                 1.0872,                0.71702,                 1.3586,                 0.9978,                 0.9836,                0.99064,                0.73774,                 1.0043,                0.62481,                 1.4172,              0.0013039,              0.0013039,              0.0013039
                     35,                 1.0791,                 0.7055,                 1.3397,                0.98875,                0.98052,                0.98575,                0.74894,                0.99232,                0.65337,                 1.3786,              0.0012929,              0.0012929,              0.0012929
                     36,                 1.0445,                0.66835,                 1.3333,                0.99687,                0.97261,                0.98714,                0.75408,                0.92698,                0.71923,                 1.3302,              0.0012819,              0.0012819,              0.0012819
                     37,                  1.122,                0.72214,                 1.3357,                 0.9885,                0.98377,                0.98907,                0.75412,                0.90719,                0.66569,                 1.3124,              0.0012709,              0.0012709,              0.0012709
                     38,                 1.0853,                0.73087,                 1.3647,                0.99866,                0.98701,                0.99263,                0.76914,                0.89905,                0.60716,                 1.2898,              0.0012599,              0.0012599,              0.0012599
                     39,                 1.0443,                0.69791,                 1.3057,                0.99598,                0.98647,                0.99004,                0.75626,                0.92501,                0.59893,                 1.3453,              0.0012489,              0.0012489,              0.0012489
                     40,                 1.0749,                0.69039,                 1.3429,                0.99808,                0.97796,                0.98755,                0.72394,                0.98025,                0.60068,                 1.3837,              0.0012379,              0.0012379,              0.0012379
                     41,                 1.0579,                0.67663,                 1.3284,                0.99825,                0.98642,                0.98962,                0.76221,                0.93374,                0.59868,                 1.3228,              0.0012269,              0.0012269,              0.0012269
                     42,                 1.0516,                0.66602,                 1.3343,                0.99858,                0.98377,                0.99263,                0.79519,                0.84081,                0.53856,                  1.262,              0.0012159,              0.0012159,              0.0012159
                     43,                 1.0623,                0.68539,                  1.319,                0.99151,                0.98247,                0.99289,                 0.7857,                0.84783,                 0.5531,                 1.2529,              0.0012049,              0.0012049,              0.0012049
                     44,                0.99176,                0.61853,                 1.2783,                0.99927,                0.97727,                0.99212,                0.73478,                0.98814,                0.58697,                 1.3825,              0.0011939,              0.0011939,              0.0011939
                     45,                 1.0214,                 0.6408,                 1.2913,                0.99974,                0.98013,                0.99113,                0.74675,                0.92874,                 0.5762,                 1.3034,              0.0011829,              0.0011829,              0.0011829
                     46,                0.99353,                0.59956,                 1.2549,                0.99818,                0.98684,                0.99159,                0.76786,                0.89014,                0.59399,                 1.2728,              0.0011719,              0.0011719,              0.0011719
                     47,                0.97663,                0.59514,                 1.2496,                0.99424,                0.98701,                 0.9918,                 0.7935,                0.90226,                0.54243,                  1.265,              0.0011609,              0.0011609,              0.0011609
                     48,                0.96834,                0.58665,                 1.2742,                0.99517,                0.98701,                0.99184,                0.74172,                0.95995,                 0.5512,                 1.3111,              0.0011499,              0.0011499,              0.0011499
                     49,                0.98678,                0.60543,                 1.2363,                0.99845,                0.98701,                0.99265,                0.79399,                0.82487,                0.53155,                  1.238,              0.0011389,              0.0011389,              0.0011389
                     50,                0.99167,                0.60854,                 1.2708,                 0.9985,                0.98682,                0.99413,                 0.7846,                0.86273,                0.51889,                 1.2305,              0.0011279,              0.0011279,              0.0011279
                     51,                0.94661,                0.61242,                 1.2468,                0.99851,                0.98701,                0.99335,                0.77591,                0.83722,                 0.5108,                 1.2236,              0.0011169,              0.0011169,              0.0011169
                     52,                0.95378,                 0.5693,                 1.2076,                0.99725,                 0.9869,                0.99463,                0.75523,                0.89578,                0.53091,                 1.2866,              0.0011059,              0.0011059,              0.0011059
                     53,                0.97836,                0.57645,                 1.2347,                0.99773,                0.98634,                0.99366,                0.78991,                0.84966,                0.54124,                 1.2295,              0.0010949,              0.0010949,              0.0010949
                     54,                 1.0114,                0.57683,                 1.2765,                0.99582,                0.98377,                0.99237,                0.78267,                0.84268,                0.52487,                 1.2319,              0.0010839,              0.0010839,              0.0010839
                     55,                 0.9958,                0.59614,                 1.2772,                0.99803,                0.98377,                0.99296,                0.77165,                0.91314,                0.52075,                 1.2759,              0.0010729,              0.0010729,              0.0010729
                     56,                0.96955,                0.57564,                 1.2077,                0.99872,                0.98681,                0.99353,                0.80327,                 0.7738,                0.47357,                 1.1821,              0.0010619,              0.0010619,              0.0010619
                     57,                0.93659,                0.59065,                 1.2607,                0.99788,                0.98377,                0.99255,                0.81353,                0.78045,                0.48457,                 1.1813,              0.0010509,              0.0010509,              0.0010509
                     58,                0.93883,                 0.5624,                 1.2148,                0.99246,                0.98459,                0.99296,                0.79329,                0.81449,                0.49907,                 1.2051,              0.0010399,              0.0010399,              0.0010399
                     59,                0.96884,                0.57832,                  1.263,                0.99911,                0.97663,                0.99288,                0.80975,                0.80043,                0.50714,                 1.2008,              0.0010289,              0.0010289,              0.0010289
                     60,                0.98872,                0.58396,                 1.2489,                0.99809,                0.98647,                0.99289,                0.76563,                0.88958,                0.52595,                 1.2501,              0.0010179,              0.0010179,              0.0010179
                     61,                0.91701,                0.55242,                 1.2197,                0.99306,                0.98701,                0.99247,                0.80716,                0.77378,                0.47895,                 1.1744,              0.0010069,              0.0010069,              0.0010069
                     62,                0.94724,                0.60177,                  1.245,                0.99568,                0.98389,                0.99303,                0.78301,                0.85377,                0.48752,                 1.2259,             0.00099587,             0.00099587,             0.00099587
                     63,                0.93764,                0.54161,                 1.2094,                0.99662,                0.98919,                0.99401,                0.81692,                0.76097,                 0.4671,                 1.1756,             0.00098486,             0.00098486,             0.00098486
                     64,                0.92586,                0.56745,                 1.2212,                0.99576,                0.98701,                0.99336,                 0.8137,                0.75851,                0.47348,                 1.1603,             0.00097386,             0.00097386,             0.00097386
                     65,                0.90052,                0.52036,                 1.1689,                0.99844,                0.98701,                0.99378,                0.78572,                0.79934,                0.48429,                 1.1897,             0.00096286,             0.00096286,             0.00096286
                     66,                0.92889,                0.54611,                  1.186,                0.99446,                0.98377,                0.99306,                0.78849,                 0.7934,                0.46459,                 1.1788,             0.00095186,             0.00095186,             0.00095186
                     67,                0.92775,                0.54484,                   1.21,                0.99731,                0.98377,                0.99371,                0.80655,                0.75824,                0.45135,                 1.1532,             0.00094085,             0.00094085,             0.00094085
                     68,                0.87591,                0.50089,                 1.1594,                 0.9981,                0.98377,                0.99429,                0.81012,                0.77066,                0.45238,                 1.1615,             0.00092985,             0.00092985,             0.00092985
                     69,                0.95475,                 0.5662,                 1.2163,                0.99809,                0.98337,                0.99258,                0.79554,                0.77464,                0.49894,                  1.167,             0.00091885,             0.00091885,             0.00091885
                     70,                0.86464,                0.51138,                  1.169,                0.99835,                0.98696,                0.99319,                0.79971,                0.74636,                 0.4741,                 1.1517,             0.00090785,             0.00090785,             0.00090785
                     71,                0.90435,                0.52022,                 1.1825,                0.99819,                0.98691,                0.99337,                0.81079,                0.75186,                0.44716,                 1.1554,             0.00089685,             0.00089685,             0.00089685
                     72,                0.92625,                0.53455,                 1.1882,                0.99572,                0.98633,                0.99303,                0.82037,                0.75658,                0.45267,                 1.1612,             0.00088584,             0.00088584,             0.00088584
                     73,                0.92032,                0.53222,                 1.1955,                0.99852,                0.98299,                 0.9931,                0.78896,                0.84247,                0.44153,                 1.2362,             0.00087484,             0.00087484,             0.00087484
                     74,                0.89009,                0.52036,                 1.2006,                0.99865,                0.98701,                 0.9924,                0.81306,                0.75082,                0.42541,                 1.1323,             0.00086384,             0.00086384,             0.00086384
                     75,                0.90962,                0.50574,                 1.1783,                0.99855,                0.98701,                0.99438,                0.81045,                0.76517,                0.41043,                 1.1412,             0.00085284,             0.00085284,             0.00085284
                     76,                0.88744,                0.50676,                 1.1879,                0.99802,                0.98701,                0.99306,                0.80381,                0.80384,                0.46529,                  1.181,             0.00084184,             0.00084184,             0.00084184
                     77,                0.89611,                0.51459,                 1.2055,                0.99894,                0.97981,                0.99128,                0.80356,                 0.7761,                0.45036,                 1.1732,             0.00083083,             0.00083083,             0.00083083
                     78,                0.90176,                0.51697,                 1.2029,                0.99946,                0.98693,                0.99335,                0.81868,                0.76972,                0.44539,                 1.1576,             0.00081983,             0.00081983,             0.00081983
                     79,                0.83917,                0.47441,                 1.1425,                0.99841,                0.98701,                0.99472,                0.82241,                0.74784,                0.40729,                 1.1479,             0.00080883,             0.00080883,             0.00080883
                     80,                0.91634,                0.51626,                 1.1814,                0.99784,                0.98701,                0.99452,                0.83128,                0.73652,                0.43102,                 1.1424,             0.00079783,             0.00079783,             0.00079783
                     81,                0.87577,                 0.4937,                 1.1646,                0.99823,                0.98701,                0.99487,                0.81077,                0.78608,                0.42287,                 1.1528,             0.00078682,             0.00078682,             0.00078682
                     82,                0.88856,                0.51889,                 1.1778,                0.99714,                0.98701,                0.99361,                0.81609,                0.74949,                0.44706,                 1.1481,             0.00077582,             0.00077582,             0.00077582
                     83,                0.86876,                0.49316,                  1.179,                0.99799,                0.98701,                0.99242,                0.81128,                0.74265,                0.41699,                 1.1385,             0.00076482,             0.00076482,             0.00076482
                     84,                0.88466,                0.50744,                 1.1693,                0.99864,                0.98701,                 0.9925,                0.81295,                0.74372,                0.42045,                 1.1482,             0.00075382,             0.00075382,             0.00075382
                     85,                0.87664,                0.48494,                  1.169,                0.99741,                0.98701,                0.99195,                0.80843,                 0.7583,                0.43823,                 1.1444,             0.00074282,             0.00074282,             0.00074282
                     86,                 0.8842,                 0.4961,                  1.158,                0.99826,                0.98377,                0.99181,                 0.8256,                0.70249,                0.42707,                 1.1184,             0.00073181,             0.00073181,             0.00073181
                     87,                0.90321,                0.47909,                 1.1551,                0.99648,                0.98559,                0.99223,                0.80965,                0.75492,                  0.431,                 1.1428,             0.00072081,             0.00072081,             0.00072081
                     88,                0.83307,                0.46455,                 1.1292,                0.99783,                0.98701,                0.99309,                0.79144,                0.79818,                0.42603,                  1.163,             0.00070981,             0.00070981,             0.00070981
                     89,                0.88355,                 0.4812,                 1.1406,                0.99819,                0.98701,                0.99436,                0.81474,                0.77469,                0.41259,                  1.144,             0.00069881,             0.00069881,             0.00069881
                     90,                 0.8526,                 0.4691,                 1.1464,                0.99739,                0.98701,                0.99393,                0.80734,                0.78702,                0.41377,                 1.1672,              0.0006878,              0.0006878,              0.0006878
                     91,                0.90121,                 0.5236,                 1.1978,                0.99857,                0.98701,                0.99431,                0.82519,                0.71617,                0.39624,                 1.1087,              0.0006768,              0.0006768,              0.0006768
                     92,                0.83881,                0.46329,                 1.1399,                0.99797,                0.98701,                0.99436,                0.82267,                0.71677,                0.38809,                  1.111,              0.0006658,              0.0006658,              0.0006658
                     93,                 0.8401,                 0.4642,                 1.1319,                0.99856,                0.98701,                0.99462,                0.82621,                0.69729,                0.38523,                 1.0988,              0.0006548,              0.0006548,              0.0006548
                     94,                0.84638,                0.45545,                 1.1362,                0.99909,                0.98701,                0.99394,                0.83144,                0.69595,                 0.3893,                 1.1066,              0.0006438,              0.0006438,              0.0006438
                     95,                0.80723,                0.45131,                 1.0974,                0.99927,                0.98701,                0.99269,                0.83134,                0.72152,                0.41519,                 1.1133,             0.00063279,             0.00063279,             0.00063279
                     96,                0.84341,                0.46557,                 1.1433,                0.99888,                0.98701,                0.99463,                0.82472,                0.71726,                0.39051,                 1.1037,             0.00062179,             0.00062179,             0.00062179
                     97,                 0.8223,                0.45975,                 1.1512,                0.99925,                0.98601,                 0.9944,                0.82824,                0.68143,                0.37719,                 1.0892,             0.00061079,             0.00061079,             0.00061079
                     98,                0.84013,                 0.4588,                 1.1686,                 0.9989,                0.98052,                0.99383,                0.82829,                0.71124,                0.38912,                  1.105,             0.00059979,             0.00059979,             0.00059979
                     99,                0.84467,                0.46651,                 1.1482,                0.99886,                0.98052,                0.99425,                0.82062,                0.73619,                0.40974,                 1.1369,             0.00058878,             0.00058878,             0.00058878
