                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.29926,                 44.319,                0.45362,                      0,                      0,                      0,                      0,                0.04595,                0.20676,                0.06429,             0.00047052,             0.00047052,             0.00047052
                      2,                0.30437,                 1.3506,                0.43402,                      0,                      0,                      0,                      0,                0.03415,                0.14897,                0.05732,             0.00075938,             0.00075938,             0.00075938
                      3,                0.43069,                  1.334,                0.66646,                0.14286,                0.09091,                0.11185,                0.04474,                0.03564,                0.14773,                0.05358,             0.00085961,             0.00085961,             0.00085961
