                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0725,                0.75906,                 1.5319,                0.92923,                0.94959,                0.96769,                0.72751,                0.96479,                0.69373,                 1.4878,              0.0010282,              0.0010282,              0.0010282
                     36,                  1.054,                0.74094,                 1.5169,                0.97896,                0.95768,                  0.988,                0.76378,                0.95324,                0.60452,                 1.4787,              0.0010164,              0.0010164,              0.0010164
                     37,                 1.0644,                0.74934,                 1.5227,                0.95864,                0.94378,                0.98215,                0.74525,                0.97207,                0.63248,                 1.5056,              0.0010046,              0.0010046,              0.0010046
                     38,                 1.0611,                0.75046,                 1.5237,                0.95656,                0.96835,                0.98793,                0.77978,                0.91699,                0.62418,                 1.4484,              0.0009928,              0.0009928,              0.0009928
                     39,                 1.0453,                0.72204,                 1.4948,                0.98112,                0.94753,                0.98888,                0.77485,                0.93879,                0.62185,                  1.447,             0.00098101,             0.00098101,             0.00098101
                     40,                 1.0465,                 0.7543,                   1.51,                0.97038,                0.96083,                0.98691,                0.77925,                0.90272,                0.62645,                 1.4396,             0.00096922,             0.00096922,             0.00096922
                     41,                 1.0389,                0.72895,                 1.4886,                0.96548,                0.97408,                0.98906,                 0.7818,                0.90941,                0.56231,                 1.4374,             0.00095743,             0.00095743,             0.00095743
                     42,                 1.0392,                0.71709,                 1.4893,                 0.9662,                0.96835,                0.98785,                0.78768,                0.89697,                 0.5787,                 1.4295,             0.00094564,             0.00094564,             0.00094564
                     43,                0.99561,                0.68542,                 1.4488,                0.96986,                0.98029,                0.99115,                0.79311,                0.87178,                0.56931,                 1.3936,             0.00093385,             0.00093385,             0.00093385
                     44,                 1.0196,                0.70188,                 1.4791,                0.98296,                0.97211,                 0.9914,                0.79375,                0.86227,                0.55787,                 1.3993,             0.00092206,             0.00092206,             0.00092206
                     45,                 1.0139,                0.68043,                 1.4935,                0.97125,                0.96335,                0.99059,                0.78167,                0.89403,                0.55585,                 1.4228,             0.00091027,             0.00091027,             0.00091027
                     46,                 0.9937,                 0.6835,                 1.4513,                0.96416,                0.98086,                0.99175,                0.79175,                0.87558,                0.54823,                 1.3924,             0.00089848,             0.00089848,             0.00089848
                     47,                0.99295,                0.69679,                 1.4607,                0.97808,                0.97269,                0.99037,                0.78136,                0.90547,                0.54922,                  1.441,             0.00088669,             0.00088669,             0.00088669
                     48,                0.98939,                0.68334,                 1.4556,                0.98094,                 0.9829,                0.99086,                0.78559,                0.89551,                0.57432,                 1.4233,             0.00087491,             0.00087491,             0.00087491
                     49,                 1.0061,                 0.6811,                  1.459,                0.97563,                0.96777,                 0.9919,                0.79591,                0.87615,                0.53607,                 1.4027,             0.00086312,             0.00086312,             0.00086312
