                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.91914,                0.68343,                  1.425,                0.96681,                0.95573,                0.97261,                0.79795,                0.85239,                0.56017,                 1.4224,             0.00046933,             0.00046933,             0.00046933
                      2,                0.92981,                0.65358,                 1.4184,                0.96792,                0.94081,                0.97261,                0.77168,                0.94998,                0.68158,                 1.4857,             0.00089885,             0.00089885,             0.00089885
                      3,                0.99196,                 0.7259,                 1.5083,                0.96189,                0.94541,                0.97473,                0.77398,                0.91697,                0.64037,                 1.4579,              0.0012812,              0.0012812,              0.0012812
                      4,                 1.0417,                0.74805,                 1.5366,                0.94516,                0.94062,                0.96472,                0.73768,                 1.0231,                0.76853,                 1.5411,              0.0012168,              0.0012168,              0.0012168
                      5,                 1.0156,                0.74009,                 1.4805,                 0.9434,                0.94493,                0.97031,                0.75374,                0.95479,                0.66228,                 1.5036,              0.0011461,              0.0011461,              0.0011461
                      6,                 1.0073,                0.73698,                 1.5069,                0.96843,                0.94426,                0.97674,                0.77843,                 0.8838,                0.59265,                 1.4352,              0.0010753,              0.0010753,              0.0010753
                      7,                0.99625,                0.68581,                 1.4812,                0.96116,                0.95298,                0.97567,                 0.7822,                0.90333,                0.58194,                 1.4569,              0.0010046,              0.0010046,              0.0010046
                      8,                0.98437,                0.70892,                 1.4773,                0.97092,                0.95287,                 0.9825,                0.78909,                0.86205,                0.55633,                   1.42,             0.00093385,             0.00093385,             0.00093385
                      9,                 1.0082,                0.70682,                 1.4757,                0.97439,                0.94817,                0.98005,                0.79543,                0.85026,                0.58681,                 1.4297,             0.00086312,             0.00086312,             0.00086312
                     10,                0.96649,                0.70704,                 1.4732,                0.95421,                 0.9515,                0.98177,                0.79991,                0.85838,                0.56891,                 1.4102,             0.00079238,             0.00079238,             0.00079238
                     11,                0.89581,                0.57273,                  1.411,                 0.9602,                0.94161,                0.97785,                0.78088,                0.89838,                0.60661,                  1.461,             0.00072164,             0.00072164,             0.00072164
                     12,                0.87571,                0.54923,                 1.3996,                0.97742,                0.95009,                0.98389,                0.80761,                0.84482,                0.53725,                  1.393,             0.00065091,             0.00065091,             0.00065091
                     13,                0.84838,                0.52001,                 1.3669,                0.97436,                0.95724,                0.98732,                0.80496,                0.80733,                0.51262,                 1.3488,             0.00058017,             0.00058017,             0.00058017
                     14,                0.84217,                0.50545,                 1.3621,                0.97953,                0.94932,                0.98846,                0.81796,                0.78968,                 0.4936,                 1.3365,             0.00050944,             0.00050944,             0.00050944
                     15,                0.82221,                 0.4901,                 1.3414,                0.97709,                0.96109,                0.98844,                0.82497,                 0.7793,                0.48259,                  1.334,              0.0004387,              0.0004387,              0.0004387
                     16,                0.81131,                0.47636,                   1.32,                 0.9754,                0.96083,                0.98949,                 0.8321,                0.74499,                 0.4573,                 1.2955,             0.00036797,             0.00036797,             0.00036797
                     17,                0.78858,                0.45569,                 1.3063,                0.97507,                0.97081,                0.99058,                  0.836,                0.74194,                0.45049,                 1.2891,             0.00029723,             0.00029723,             0.00029723
                     18,                0.77609,                0.45771,                 1.2814,                0.98187,                 0.9579,                0.98956,                0.83024,                0.75069,                0.45149,                  1.298,              0.0002265,              0.0002265,              0.0002265
                     19,                 0.7538,                0.44767,                 1.2862,                0.97585,                0.96829,                0.99036,                0.84434,                0.72077,                0.43953,                 1.2683,             0.00015576,             0.00015576,             0.00015576
                     20,                0.74302,                0.43546,                 1.2582,                0.97325,                0.97288,                0.99038,                0.84803,                0.69828,                0.42437,                  1.247,             8.5026e-05,             8.5026e-05,             8.5026e-05
