                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.167,                 1.3019,                   1.73,                0.95674,                0.70498,                0.80853,                0.63165,                 1.0732,                 1.0246,                 1.6686,             0.00047052,             0.00047052,             0.00047052
                      2,                 1.1679,                 1.1732,                 1.7164,                0.98336,                0.70544,                0.85203,                0.64936,                 1.0483,                  0.968,                 1.6627,             0.00088437,             0.00088437,             0.00088437
                      3,                  1.195,                 1.1659,                 1.7556,                0.97464,                0.70761,                0.83641,                0.62178,                 1.1161,                 1.0119,                 1.7077,              0.0012353,              0.0012353,              0.0012353
                      4,                 1.1666,                 1.1328,                 1.7133,                 0.9808,                0.70838,                0.84755,                0.62664,                 1.1131,                0.96735,                 1.7067,              0.0011461,              0.0011461,              0.0011461
                      5,                 1.1903,                 1.1663,                 1.7428,                0.95772,                0.72349,                0.85979,                0.64329,                 1.0818,                0.94743,                  1.674,              0.0010517,              0.0010517,              0.0010517
                      6,                 1.0872,                0.97982,                 1.6506,                0.96235,                0.70578,                0.85488,                0.62137,                 1.1046,                0.95016,                 1.6971,             0.00095743,             0.00095743,             0.00095743
                      7,                 1.0759,                0.87943,                 1.6679,                0.95683,                0.71858,                 0.8535,                0.63042,                 1.1164,                0.94673,                 1.7018,             0.00086312,             0.00086312,             0.00086312
                      8,                 1.0213,                0.82867,                 1.6031,                0.91947,                0.74742,                0.87774,                0.66488,                 1.0314,                0.86255,                 1.6153,              0.0007688,              0.0007688,              0.0007688
                      9,                 1.0069,                0.79786,                 1.5812,                0.96515,                 0.7428,                0.89262,                0.68179,                0.96958,                0.79658,                 1.5702,             0.00067449,             0.00067449,             0.00067449
                     10,                 1.0068,                0.78531,                 1.5864,                0.89983,                0.78008,                 0.8942,                0.68211,                0.96901,                0.79573,                 1.5669,             0.00058017,             0.00058017,             0.00058017
                     11,                0.97031,                0.76647,                 1.5464,                0.90132,                0.79958,                0.90298,                 0.7008,                0.94363,                 0.7708,                 1.5342,             0.00048586,             0.00048586,             0.00048586
                     12,                0.93934,                0.72577,                 1.5313,                0.92652,                0.79233,                0.90715,                0.70925,                0.93435,                0.73457,                 1.5204,             0.00039155,             0.00039155,             0.00039155
                     13,                0.92299,                0.69649,                  1.505,                0.90958,                0.80822,                0.91529,                0.72264,                0.89678,                0.70858,                 1.4845,             0.00029723,             0.00029723,             0.00029723
                     14,                0.90342,                0.67373,                 1.4824,                0.92536,                  0.813,                0.91704,                0.73506,                0.86439,                0.68256,                  1.456,             0.00020292,             0.00020292,             0.00020292
                     15,                0.87922,                0.64936,                 1.4592,                0.92135,                0.82122,                0.91886,                0.73772,                0.85662,                0.67482,                 1.4495,              0.0001086,              0.0001086,              0.0001086
